,LU1893597309,WQDA NA,PIRPEUR LX,LU1919842267,9888 HK,LU0154236417,LU1883854199,BEAN SW,LU0072462186,NVDA US,LU1191877379,SIE GY,PFLDCPE LX,LU1244893696,ASML NA,ALGAATU LX,FFGLCAE LX
LU1893597309,0.0001315306996193827,5.3758816151155647e-05,0.00014004176344991967,6.0049732242496835e-05,9.121216115984085e-05,9.36280754634008e-05,4.054820914221932e-05,0.00012656392187751608,7.998408816442282e-05,9.504751801742873e-05,1.1386703237045193e-05,0.00010549472985560425,0.00011927671172182564,4.6403634342046294e-05,0.00016330213434207521,9.715398751730217e-05,7.43025931656064e-05
WQDA NA,5.3758816151155647e-05,5.50398542461012e-05,6.822498409746961e-05,3.6572560183181636e-05,3.4660443545548614e-05,5.616154483472878e-05,3.002060914938886e-05,6.155540158471331e-05,4.4337415152022005e-05,7.152948691232014e-05,5.534725601388042e-06,7.061205336939623e-05,5.564128292241251e-05,3.298533539566228e-05,0.000104494229321545,4.859048566408744e-05,5.79222076664093e-05
PIRPEUR LX,0.00014004176344991967,6.822498409746961e-05,0.00023432267949536717,0.00010710869215021398,0.00015147109670023978,0.0001339696972281472,6.484484584949768e-05,0.0001334014151996945,8.794897436704e-05,0.00017878444438781217,1.533511444273622e-05,0.00012654848386817153,0.0001962166516216061,7.096295014065302e-05,0.00023063562458145668,0.00016516429755274265,0.00011898883193240413
LU1919842267,6.0049732242496835e-05,3.6572560183181636e-05,0.00010710869215021398,0.00021743369750401554,0.00010019895767229134,5.213965213584594e-05,0.00015843733076045924,7.711132565429468e-05,3.0012727542449795e-05,0.00035649053116749,4.193259779039145e-06,7.425035919821543e-05,0.00010188193330558242,0.00010911057636288894,0.00016725487494806385,4.0237105177994584e-05,0.00010086049625409028
9888 HK,9.121216115984085e-05,3.4660443545548614e-05,0.00015147109670023978,0.00010019895767229134,0.0010727970783591372,8.987181266428459e-05,4.002104682232893e-05,7.263859522435046e-05,5.4063002717538624e-05,0.00011432853635657419,2.2988980670075413e-05,7.031772328399346e-05,0.000172607721839766,5.868029742276833e-05,0.00014927252924941812,0.000231879452124568,9.292316878164088e-05
LU0154236417,9.36280754634008e-05,5.616154483472878e-05,0.0001339696972281472,5.213965213584594e-05,8.987181266428459e-05,0.00011509087645735869,3.814970017852176e-05,7.396949631343468e-05,6.698619810975402e-05,7.283304147859653e-05,1.0340800251226195e-05,6.713808563473428e-05,0.00012059690675579409,4.258580717677357e-05,0.0001159343459729662,0.00012272260452414507,7.093865011305968e-05
LU1883854199,4.054820914221932e-05,3.002060914938886e-05,6.484484584949768e-05,0.00015843733076045924,4.002104682232893e-05,3.814970017852176e-05,0.00014180072396800328,5.306396450239459e-05,1.988845033627775e-05,0.00026236712082475103,1.7549199470598287e-06,5.679209267684488e-05,6.294377152177137e-05,8.817313547226825e-05,0.00011041749727929441,2.484707041935274e-05,7.089101350763531e-05
BEAN SW,0.00012656392187751608,6.155540158471331e-05,0.0001334014151996945,7.711132565429468e-05,7.263859522435046e-05,7.396949631343468e-05,5.306396450239459e-05,0.0003989674773134496,7.474438392820885e-05,0.00014810030133319992,1.3299885540358301e-05,0.00015166353882646155,0.0001071931530528757,5.751291912023334e-05,0.00020869631639712518,5.51166130413164e-05,9.748509455085714e-05
LU0072462186,7.998408816442282e-05,4.4337415152022005e-05,8.794897436704e-05,3.0012727542449795e-05,5.4063002717538624e-05,6.698619810975402e-05,1.988845033627775e-05,7.474438392820885e-05,8.499037884480154e-05,5.1256359108152406e-05,1.0016342335808601e-05,0.00010005601718146206,7.287277873441226e-05,3.4832900548515006e-05,9.795608596717684e-05,6.086166757621033e-05,5.046913282748962e-05
NVDA US,9.504751801742873e-05,7.152948691232014e-05,0.00017878444438781217,0.00035649053116749,0.00011432853635657419,7.283304147859653e-05,0.00026236712082475103,0.00014810030133319992,5.1256359108152406e-05,0.0011024127119204474,5.141907885509428e-06,0.0001634535889661808,0.0001520119660559611,0.00017306573419811436,0.00038191970422958316,1.6638166589474185e-05,0.0001864957151205431
LU1191877379,1.1386703237045193e-05,5.534725601388042e-06,1.533511444273622e-05,4.193259779039145e-06,2.2988980670075413e-05,1.0340800251226195e-05,1.7549199470598287e-06,1.3299885540358301e-05,1.0016342335808601e-05,5.141907885509428e-06,8.48622092650232e-06,1.069250257384764e-05,1.2670586446894387e-05,5.59853779785869e-06,1.1868914844688712e-05,2.3960662343366894e-05,7.445220993844778e-06
SIE GY,0.00010549472985560425,7.061205336939623e-05,0.00012654848386817153,7.425035919821543e-05,7.031772328399346e-05,6.713808563473428e-05,5.679209267684488e-05,0.00015166353882646155,0.00010005601718146206,0.0001634535889661808,1.069250257384764e-05,0.00032567071920117,9.169651205996544e-05,6.197829596668398e-05,0.00024696580066321425,4.4214597060777914e-05,0.00010199814451215297
PFLDCPE LX,0.00011927671172182564,5.564128292241251e-05,0.0001962166516216061,0.00010188193330558242,0.000172607721839766,0.00012059690675579409,6.294377152177137e-05,0.0001071931530528757,7.287277873441226e-05,0.0001520119660559611,1.2670586446894387e-05,9.169651205996544e-05,0.00020057359862559962,6.5261391318588e-05,0.00017858598438097952,0.00014954852775941478,0.00010623265384311536
LU1244893696,4.6403634342046294e-05,3.298533539566228e-05,7.096295014065302e-05,0.00010911057636288894,5.868029742276833e-05,4.258580717677357e-05,8.817313547226825e-05,5.751291912023334e-05,3.4832900548515006e-05,0.00017306573419811436,5.59853779785869e-06,6.197829596668398e-05,6.5261391318588e-05,7.61001434299385e-05,9.71645733045216e-05,4.00384192280383e-05,6.331793910461416e-05
ASML NA,0.00016330213434207521,0.000104494229321545,0.00023063562458145668,0.00016725487494806385,0.00014927252924941812,0.0001159343459729662,0.00011041749727929441,0.00020869631639712518,9.795608596717684e-05,0.00038191970422958316,1.1868914844688712e-05,0.00024696580066321425,0.00017858598438097952,9.71645733045216e-05,0.0005923751489228377,9.449467754378374e-05,0.00018198090136119542
ALGAATU LX,9.715398751730217e-05,4.859048566408744e-05,0.00016516429755274265,4.0237105177994584e-05,0.000231879452124568,0.00012272260452414507,2.484707041935274e-05,5.51166130413164e-05,6.086166757621033e-05,1.6638166589474185e-05,2.3960662343366894e-05,4.4214597060777914e-05,0.00014954852775941478,4.00384192280383e-05,9.449467754378374e-05,0.0003802375843692756,6.662641315471596e-05
FFGLCAE LX,7.43025931656064e-05,5.79222076664093e-05,0.00011898883193240413,0.00010086049625409028,9.292316878164088e-05,7.093865011305968e-05,7.089101350763531e-05,9.748509455085714e-05,5.046913282748962e-05,0.0001864957151205431,7.445220993844778e-06,0.00010199814451215297,0.00010623265384311536,6.331793910461416e-05,0.00018198090136119542,6.662641315471596e-05,0.00011362397105811527
